material,teacher,student,score
A,1,1,92
A,1,2,93
A,1,3,88
A,1,4,91
A,1,5,95
A,1,6,89
A,2,1,94
A,2,2,86
A,2,3,91
A,2,4,98
A,2,5,82
A,2,6,95
A,3,1,91
A,3,2,99
A,3,3,92
A,3,4,100
A,3,5,92
A,3,6,88
A,4,1,91
A,4,2,99
A,4,3,97
A,4,4,98
A,4,5,94
A,4,6,97
A,5,1,92
A,5,2,90
A,5,3,91
A,5,4,89
A,5,5,95
A,5,6,90
B,1,1,104
B,1,2,102
B,1,3,102
B,1,4,105
B,1,5,106
B,1,6,106
B,2,1,85
B,2,2,86
B,2,3,79
B,2,4,88
B,2,5,79
B,2,6,86
B,3,1,84
B,3,2,83
B,3,3,87
B,3,4,86
B,3,5,87
B,3,6,86
B,4,1,85
B,4,2,73
B,4,3,83
B,4,4,78
B,4,5,82
B,4,6,86
B,5,1,92
B,5,2,93
B,5,3,86
B,5,4,88
B,5,5,85
B,5,6,87
C,1,1,98
C,1,2,98
C,1,3,97
C,1,4,106
C,1,5,97
C,1,6,96
C,2,1,92
C,2,2,90
C,2,3,98
C,2,4,85
C,2,5,87
C,2,6,86
C,3,1,86
C,3,2,86
C,3,3,92
C,3,4,91
C,3,5,76
C,3,6,89
C,4,1,95
C,4,2,86
C,4,3,80
C,4,4,76
C,4,5,85
C,4,6,85
C,5,1,80
C,5,2,80
C,5,3,89
C,5,4,75
C,5,5,79
C,5,6,85
D,1,1,100
D,1,2,92
D,1,3,87
D,1,4,95
D,1,5,98
D,1,6,95
D,2,1,92
D,2,2,91
D,2,3,99
D,2,4,89
D,2,5,89
D,2,6,86
D,3,1,80
D,3,2,83
D,3,3,82
D,3,4,89
D,3,5,82
D,3,6,80
D,4,1,92
D,4,2,91
D,4,3,85
D,4,4,84
D,4,5,92
D,4,6,93
D,5,1,90
D,5,2,95
D,5,3,92
D,5,4,89
D,5,5,88
D,5,6,94
